#,PSRJ,P0,P1,DM,BINARY,DIST,DIST_DM,BSURF,
1,J0002+6216,0.115364,5.97e-15,218.60,*,6.357,6.357,8.40e+11,
2,J0006+1834,0.693748,2.10e-15,11.40,*,0.860,0.860,1.22e+12,
3,J0007+7303,0.315873,3.60e-13,*,*,1.400,*,1.08e+13,
4,J0012+5431,3.025301,1.28e-16,131.30,*,5.427,5.427,6.30e+11,
5,J0014+4746,1.240699,5.64e-16,30.41,*,1.776,1.776,8.47e+11,
6,J0021-0909,2.314131,1.04e-15,25.20,*,25.000,25.000,1.57e+12,
7,J0026+6320,0.318358,1.51e-16,245.06,*,6.619,6.619,2.22e+11,
8,J0034-0721,0.942951,4.08e-16,10.92,*,1.030,1.776,6.28e+11,
9,J0036-1033,0.900009,2.13e-16,23.10,*,25.000,25.000,4.43e+11,
10,J0038-2501,0.256926,7.60e-19,5.71,*,0.604,0.604,1.41e+10,
11,J0040+5716,1.118225,2.88e-15,92.52,*,2.420,2.420,1.82e+12,
12,J0040-7326,0.398657,5.61e-15,85.70,*,58.216,58.216,1.51e+12,
13,J0040-7335,0.145218,2.39e-14,198.27,*,61.176,61.176,1.88e+12,
14,J0040-7337,0.059889,3.40e-14,101.79,*,58.717,58.717,1.44e+12,
15,J0043-7319,0.937434,9.33e-15,120.80,*,59.103,59.103,2.99e+12,
16,J0044-7314,0.396913,1.76e-15,78.60,*,57.955,57.955,8.46e+11,
17,J0045-7042,0.632336,2.49e-15,71.30,*,59.700,58.576,1.27e+12,
18,J0045-7319,0.926276,4.46e-15,104.60,BT,59.700,58.705,2.06e+12,
19,J0048+3412,1.217094,2.35e-15,39.92,*,4.500,4.500,1.71e+12,
20,J0048-7317,0.079314,3.30e-14,292.42,*,100.000,100.000,1.64e+12,
21,J0051+0423,0.354732,7.00e-18,13.93,*,1.250,1.250,5.04e+10,
22,J0051-7204,0.191447,1.38e-14,159.30,*,60.252,60.252,1.65e+12,
23,J0054+6650,1.390217,5.55e-15,14.60,*,0.880,0.880,2.81e+12,
24,J0054+6946,0.832911,7.19e-16,116.52,*,2.757,2.757,7.83e+11,
25,J0054-7228,0.290945,9.56e-15,92.40,*,58.507,58.507,1.69e+12,
26,J0055+5117,2.115171,9.54e-15,44.01,*,2.800,1.935,4.55e+12,
27,J0056+4756,0.472037,3.33e-15,18.14,*,1.123,1.123,1.27e+12,
28,J0057-7201,0.738062,1.00e-16,27.00,*,3.475,3.475,2.75e+11,
29,J0058+4950,0.996023,8.04e-16,66.95,*,2.644,2.644,9.05e+11,
30,J0100+8023,1.493601,3.54e-16,56.01,*,2.847,2.847,7.36e+11,
31,J0100-7211,8.020392,1.88e-11,*,*,59.700,*,3.93e+14,
32,J0102+6537,1.679164,5.95e-15,65.85,*,2.500,1.977,3.20e+12,
33,J0105-7208,0.306737,2.36e-14,120.40,*,59.967,59.967,2.72e+12,
34,J0106+4855,0.083157,4.28e-16,70.90,*,3.063,3.063,1.91e+11,
35,J0107+1322,1.197383,6.87e-16,21.67,*,2.349,2.349,9.18e+11,
36,J0108+6608,1.283660,1.31e-14,30.55,*,2.140,1.461,4.14e+12,
37,J0108+6905,1.071118,4.81e-17,61.06,*,1.981,1.981,2.30e+11,
38,J0108-1431,0.807565,7.70e-17,1.99,*,0.210,0.210,2.52e+11,
39,J0110-2223,1.261960,6.21e-16,20.62,*,25.000,25.000,8.96e+11,
40,J0111+6624,4.301872,8.36e-15,111.20,*,2.412,2.412,6.07e+12,
41,J0111-7131,0.688542,7.09e-15,79.40,*,59.700,59.325,2.24e+12,
42,J0113-7220,0.325883,4.86e-15,125.49,*,59.700,60.998,1.27e+12,
43,J0115+6325,0.521455,1.60e-15,65.07,*,1.931,1.931,9.24e+11,
44,J0117+5914,0.101439,5.85e-15,49.42,*,1.768,1.768,7.80e+11,
45,J0120+1837,1.313385,1.36e-17,13.40,*,1.035,1.035,1.35e+11,
46,J0122+1416,1.388994,3.80e-15,17.69,*,1.583,1.583,2.33e+12,
47,J0131-7310,0.348124,1.76e-15,205.22,*,59.700,100.000,7.92e+11,
48,J0133-6957,0.463474,1.20e-16,22.95,*,2.441,2.441,2.39e+11,
49,J0134-2937,0.136962,7.84e-17,21.79,*,25.000,25.000,1.05e+11,
50,J0137+1654,0.414763,1.22e-17,26.08,*,3.059,3.059,7.21e+10,
51,J0137+6349,0.717963,9.60e-16,285.50,*,9.097,9.097,8.40e+11,
52,J0139+3336,1.247961,2.06e-15,21.23,*,1.470,1.470,1.62e+12,
53,J0139+5621,1.775344,7.91e-14,101.84,*,2.410,2.410,1.20e+13,
54,J0139+5814,0.272451,1.07e-14,73.81,*,2.600,2.006,1.73e+12,
55,J0141+6009,1.222949,3.91e-16,34.93,*,2.300,1.498,7.00e+11,
56,J0141+6303,0.046680,1.65e-18,272.76,*,8.788,8.788,8.87e+09,
57,J0146+6145,8.688994,1.99e-12,*,*,3.600,*,1.33e+14,
58,J0147+5922,0.196321,2.57e-16,40.11,*,1.900,1.578,2.27e+11,
59,J0151-0635,1.464665,4.43e-16,25.49,*,25.000,25.000,8.15e+11,
60,J0152+0948,2.746647,1.70e-15,22.88,*,2.476,2.476,2.19e+12,
61,J0152-1637,0.832742,1.30e-15,11.93,*,0.930,0.930,1.05e+12,
62,J0156+3949,1.811561,1.52e-16,59.83,*,4.920,4.920,5.30e+11,
63,J0157+6212,2.351745,1.89e-13,30.21,*,1.820,1.385,2.13e+13,
64,J0201+7005,1.349184,5.51e-15,21.03,*,1.172,1.172,2.76e+12,
65,J0205+6449,0.065716,1.94e-13,140.70,*,3.200,2.784,3.61e+12,
66,J0206-4028,0.630551,1.20e-15,13.00,*,1.271,1.271,8.79e+11,
67,J0209+4331,0.863883,5.72e-17,57.29,*,2.531,2.531,2.25e+11,
68,J0209+5759,1.063906,1.39e-14,55.28,*,1.743,1.743,3.89e+12,
69,J0210+5845,1.766219,1.52e-13,76.79,*,1.952,1.952,1.66e+13,
70,J0211+4235,0.350731,1.11e-18,49.70,*,2.240,2.240,1.99e+10,
71,J0211-8159,3.231999,7.14e-16,24.36,*,1.656,1.656,1.54e+12,
72,J0212+5222,0.376386,6.60e-15,38.21,*,1.558,1.558,1.59e+12,
73,J0215+6218,0.548880,6.62e-16,84.00,*,2.004,2.004,6.10e+11,
74,J0227+3356,1.240102,2.85e-15,27.00,*,1.595,1.595,1.90e+12,
75,J0231+7026,1.466820,3.11e-15,46.68,*,1.755,1.755,2.16e+12,
76,J0248+6021,0.217094,5.51e-14,370.00,*,2.000,25.000,3.50e+12,
77,J0250+5854,23.535378,2.72e-14,45.28,*,1.558,1.558,2.56e+13,
78,J0255-5304,0.447708,3.13e-17,17.97,*,1.846,1.846,1.20e+11,
79,J0302+2252,1.207165,8.25e-17,18.99,*,1.013,1.013,3.19e+11,
80,J0304+1932,1.387584,1.30e-15,15.66,*,0.749,0.749,1.36e+12,
81,J0323+3944,3.032072,6.36e-16,26.19,*,0.940,1.197,1.40e+12,
82,J0324+5239,0.336620,3.81e-16,115.46,*,2.290,2.290,3.62e+11,
83,J0325+6744,1.364679,1.55e-15,65.28,*,1.929,1.929,1.47e+12,
84,J0329+1654,0.893320,2.15e-16,40.82,*,2.557,2.557,4.44e+11,
85,J0332+5434,0.714520,2.05e-15,26.76,*,1.680,1.183,1.22e+12,
86,J0335+4555,0.269201,7.35e-18,47.15,*,2.410,1.535,4.50e+10,
87,J0335+6623,1.761934,4.81e-15,66.73,*,1.907,1.907,2.95e+12,
88,J0343+5312,1.934478,1.34e-14,67.30,*,1.705,1.705,5.16e+12,
89,J0343-3000,2.597027,3.91e-17,20.26,*,1.594,1.594,3.23e+11,
90,J0344-0901,1.226006,3.47e-15,30.90,*,1.507,1.507,2.09e+12,
91,J0348+0432,0.039123,2.41e-19,40.46,ELL1,2.100,2.255,3.11e+09,
92,J0349+2340,2.420771,1.10e-15,62.96,*,3.745,3.745,1.65e+12,
93,J0357+3205,0.444104,1.30e-14,*,*,0.835,*,2.43e+12,
94,J0357+5236,0.197030,4.77e-16,103.71,*,2.900,2.025,3.10e+11,
95,J0358+4155,0.226484,1.46e-16,46.33,*,1.481,1.481,1.84e+11,
96,J0358+5413,0.156384,4.39e-15,57.14,*,1.000,1.594,8.39e+11,
97,J0358+6627,0.091506,1.09e-17,62.33,*,1.884,1.884,3.19e+10,
98,J0359+5414,0.079427,1.67e-14,*,*,*,*,1.17e+12,
99,J0401-7608,0.545254,1.54e-15,21.75,*,1.014,1.014,9.28e+11,
100,J0402+4825,0.512194,2.75e-16,85.70,*,1.844,1.844,3.80e+11,
101,J0405+3347,0.063954,1.64e-19,53.60,*,1.655,1.655,3.27e+09,
102,J0406+6138,0.594576,5.57e-15,65.41,*,4.200,1.785,1.84e+12,
103,J0415+6111,0.440189,5.01e-17,70.80,*,1.845,1.845,1.50e+11,
104,J0415+6954,0.390715,7.66e-17,27.45,*,1.367,1.367,1.75e+11,
105,J0418+5732,9.078388,4.10e-15,*,*,*,*,6.17e+12,
106,J0418-4154,0.757119,1.32e-15,24.32,*,2.519,2.519,1.01e+12,
107,J0420+4451,1.241126,5.92e-16,71.67,*,1.686,1.686,8.68e+11,
108,J0420-5022,3.453004,2.76e-14,*,*,*,*,9.88e+12,
109,J0421+3255,0.900105,6.00e-17,77.02,*,1.939,1.939,2.35e+11,
110,J0421-0345,2.161309,1.16e-15,44.88,*,2.217,2.217,1.60e+12,
111,J0426+4933,0.922475,3.93e-14,84.30,*,1.795,1.795,6.10e+12,
112,J0427+4723,2.158436,2.39e-14,54.00,*,1.500,1.500,7.27e+12,
113,J0435+2749,0.326279,8.17e-18,53.19,*,1.521,1.521,5.22e+10,
114,J0448-2749,0.450448,1.48e-16,26.15,*,1.803,1.803,2.62e+11,
115,J0449-7031,0.479164,3.37e-15,65.83,*,49.700,50.463,1.29e+12,
116,J0450-1248,0.438014,1.03e-16,37.04,*,1.798,1.798,2.15e+11,
117,J0452-1759,0.548939,5.75e-15,39.90,*,0.400,2.676,1.80e+12,
118,J0452-3418,1.665119,2.77e-15,19.78,*,1.342,1.342,2.18e+12,
119,J0453+1559,0.045782,1.86e-19,30.31,DDH,0.521,0.521,2.95e+09,
120,J0454+4529,1.389137,4.89e-15,20.83,*,0.765,0.765,2.64e+12,
121,J0454+5543,0.340729,2.37e-15,14.59,*,1.180,0.637,9.10e+11,
122,J0455-6951,0.320423,1.02e-14,94.70,*,49.700,50.586,1.83e+12,
123,J0456-7031,0.800132,3.67e-14,100.30,*,49.700,51.132,5.48e+12,
124,J0457-6337,2.497012,2.10e-16,27.50,*,1.333,1.333,7.33e+11,
125,J0458-0505,1.883480,5.30e-16,47.81,*,1.938,1.938,1.01e+12,
126,J0459-0210,1.133077,1.40e-15,21.23,*,0.160,0.160,1.27e+12,
127,J0501+4516,5.762097,5.82e-12,*,*,2.000,*,1.85e+14,
128,J0502+4654,0.638565,5.58e-15,41.83,*,2.700,1.325,1.91e+12,
129,J0502-6617,0.691251,2.31e-14,68.90,*,49.700,49.066,4.04e+12,
130,J0509+3801,0.076541,7.93e-18,69.08,DDGR,1.562,1.562,2.49e+10,
131,J0511-6508,0.322062,2.07e-16,25.66,*,0.818,0.818,2.61e+11,
132,J0514-4408,0.320271,2.04e-15,15.12,*,0.966,0.966,8.18e+11,
133,J0517+2212,0.222367,1.16e-17,18.70,*,0.158,0.158,5.14e+10,
134,J0518+2431,2.636940,6.86e-16,73.76,*,1.598,1.598,1.36e+12,
135,J0518+5125,0.912512,1.91e-16,39.24,*,1.337,1.337,4.22e+11,
